update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
1,1024,1024,2,2,1024,0.07120117187500005,0.34189122915267944,-0.1522805094718933,-0.002890652685891837,0.9449563696980476,1.2118446454405785,0.0009545493521727622,0.0,-0.004734056340351289,62,0,0,0.162109375,0.1611328125,0.1630859375,0.16796875,0.2490234375,0.0966796875
2,2048,2048,5,5,1024,0.06348632812500005,0.07732409983873367,-0.18368329107761383,-0.002891033363994211,0.49966169334948063,1.2241217643022537,0.0005616691487375647,0.00048828125,0.5018722572668084,54,0,0,0.1552734375,0.162109375,0.166015625,0.169921875,0.2548828125,0.091796875
3,3072,3072,7,7,1024,0.07012695312500006,-0.1276872456073761,-0.32440584897994995,-0.001805293606594205,0.4741370975971222,1.2422962486743927,-0.0005560348508879542,0.0,0.6136502612366603,59,0,0,0.1767578125,0.13671875,0.1982421875,0.1572265625,0.2490234375,0.08203125
4,4096,4096,10,10,1024,0.061582031250000044,-0.33702391386032104,-0.11835740506649017,-0.0025920483167283237,0.33587372303009033,1.2503459379076958,0.001380463749228511,0.0,0.6904799632797437,55,0,0,0.1767578125,0.1416015625,0.1767578125,0.162109375,0.263671875,0.0791015625
5,5120,5120,12,12,1024,0.04541992187500003,-0.7408076524734497,-0.245536208152771,-0.0033516999101266265,0.32607150450348854,1.2375375553965569,-0.0013899054320063442,0.001953125,0.702897640189204,43,0,0,0.2099609375,0.130859375,0.2060546875,0.1416015625,0.2373046875,0.07421875
6,6144,6144,15,15,1024,0.06451171875000006,-0.5809284448623657,0.08961380273103714,-0.005371253238990903,0.39425044879317284,1.2340553030371666,0.0006903900939505547,0.0048828125,0.6617697852264921,58,0,0,0.193359375,0.1357421875,0.208984375,0.1435546875,0.2421875,0.076171875
7,7168,7168,17,17,1024,0.053769531250000044,-0.7749795317649841,-0.18936751782894135,-0.004030321433674544,0.3557679336518049,1.2427030205726624,0.0029703837280976586,0.005126953125,0.6446454656175973,52,0,0,0.224609375,0.115234375,0.228515625,0.119140625,0.236328125,0.076171875
8,8192,8192,20,20,1024,0.056357421875000036,-0.7047532200813293,0.13999807834625244,-0.0022681410191580653,0.34231344051659107,1.2957825437188148,0.00024171917903004214,0.0,0.6818482956015599,56,0,0,0.236328125,0.1162109375,0.2216796875,0.1181640625,0.2509765625,0.056640625
9,9216,9216,22,22,1024,0.06402343750000004,-0.575645387172699,0.028395146131515503,-0.003481399908196181,0.35257150046527386,1.2425656989216805,0.00028957054018974304,0.0,0.6847541110790567,60,0,0,0.212890625,0.1064453125,0.2353515625,0.1357421875,0.236328125,0.0732421875
10,10025,10025,25,25,809,0.07207663782447471,-0.5675772428512573,0.022232118993997574,0.0005217583966441453,0.39195912703871727,1.2467130422592163,0.0013355675200728,0.0,0.6942522552828805,54,0,0,0.2200247218788628,0.09765142150803462,0.2138442521631644,0.13226205191594562,0.2620519159456119,0.07416563658838071
11,11049,11049,27,27,1024,0.07081054687500005,-0.793148934841156,-0.12783420085906982,-0.003156888298690319,0.31980966590344906,1.2226702496409416,0.0012725302367471159,0.0,0.7021857080118217,68,0,0,0.2265625,0.1083984375,0.228515625,0.1181640625,0.2451171875,0.0732421875
12,12073,12073,30,30,1024,0.06622070312500006,-0.8714922666549683,-0.12054845690727234,-0.0058314599737059325,0.3717262838035822,1.231602355837822,-0.00011902870755875483,0.0078125,0.6681323494094742,63,0,0,0.2578125,0.10546875,0.2607421875,0.11328125,0.2001953125,0.0625
13,13097,13097,32,32,1024,0.08296875000000006,-0.7016605138778687,0.17762449383735657,-0.003482066618744284,0.41161853447556496,1.2595165446400642,-0.003784475920838304,0.0,0.6700101219765862,80,0,0,0.279296875,0.130859375,0.271484375,0.1171875,0.142578125,0.05859375
14,14121,14121,35,35,1024,0.09683593750000005,-0.6042547225952148,-0.02944594994187355,-0.005829236237332225,0.4922691471874714,1.2064532786607742,0.0008488782186759636,0.018310546875,0.6302506405522424,90,0,0,0.263671875,0.126953125,0.2470703125,0.146484375,0.146484375,0.0693359375
15,15145,15145,37,37,1024,0.07203125000000005,-0.7508461475372314,0.025056039914488792,-0.004045688197948039,0.3648852203041315,1.201673872768879,0.0002370172951486893,0.0,0.6330557357654872,72,0,0,0.255859375,0.1279296875,0.24609375,0.1357421875,0.171875,0.0625
16,16169,16169,40,40,1024,0.09068359375000004,-0.5466042757034302,0.2139558494091034,-0.007613181252963841,0.46382551826536655,1.2137906476855278,0.0022709244512952864,0.0107421875,0.6216005680829334,87,0,0,0.2568359375,0.12890625,0.23828125,0.146484375,0.169921875,0.0595703125
17,17193,17193,42,42,1024,0.07437500000000005,-0.771503210067749,-0.19901543855667114,-0.0033869427861645818,0.36394651234149933,1.2193129062652588,0.0007558413199149072,0.000732421875,0.673174070993316,75,0,0,0.2626953125,0.1357421875,0.2392578125,0.140625,0.16015625,0.0615234375
18,18217,18217,45,45,1024,0.08184570312500004,-0.5632460117340088,0.15640565752983093,-0.004304341971874237,0.41196843795478344,1.1963650733232498,0.0019004486166522838,0.000732421875,0.6785068006770898,79,0,0,0.236328125,0.12109375,0.2412109375,0.1318359375,0.2080078125,0.0615234375
19,19241,19241,47,47,1024,0.08521484375000005,-0.6638606190681458,0.016534555703401566,-0.011855201562866569,0.4414561726152897,1.1916632428765297,0.010438568802783266,0.11572265625,0.6133164087520666,86,0,0,0.2607421875,0.111328125,0.2626953125,0.1318359375,0.177734375,0.0556640625
20,20050,20050,50,50,809,0.10606922126081586,-0.40164145827293396,0.11094828695058823,-0.012214169255457819,0.47016536444425583,1.1566695496439934,0.005236035489360802,0.05009051039814949,0.5672003193738924,82,0,0,0.25339925834363414,0.12237330037082818,0.24598269468479605,0.14709517923362175,0.173053152039555,0.0580964153275649
21,21074,21074,52,52,1024,0.11211914062500004,-0.3755435347557068,0.16552145779132843,-0.0036673262948170304,0.4637473002076149,1.1503770872950554,-0.00011984796583419666,0.00390625,0.6381289549605842,114,0,0,0.2666015625,0.1181640625,0.267578125,0.125,0.1689453125,0.0537109375
22,22098,22098,55,55,1024,0.10093750000000004,-0.7650010585784912,-0.3105217218399048,-0.0023801805800758302,0.5052663777023554,1.1338532194495201,0.0031359397835331038,0.0009765625,0.578837964787871,102,0,0,0.271484375,0.12890625,0.2587890625,0.140625,0.150390625,0.0498046875
23,23122,23122,57,57,1024,0.12813476562500004,-0.4865446090698242,0.28864139318466187,-0.0033024310250766575,0.419736847281456,1.1406558454036713,0.0005999850400257856,0.0,0.6950236144242847,134,0,0,0.25390625,0.1376953125,0.2373046875,0.146484375,0.1787109375,0.0458984375
24,24146,24146,60,60,1024,0.10977539062500002,-0.5344873666763306,0.03889493644237518,-0.009210194810293615,0.4319229032844305,1.1174548491835594,0.007233292140881531,0.037109375,0.6080960589589157,115,0,0,0.2568359375,0.1220703125,0.275390625,0.1259765625,0.1767578125,0.04296875
25,25170,25170,62,62,1024,0.12203125000000005,-0.5599676966667175,-0.051363009959459305,-0.005711261881515384,0.3675712291151285,1.06846122443676,0.001972050995391328,0.00390625,0.660220253308627,126,0,0,0.267578125,0.1337890625,0.2705078125,0.1357421875,0.150390625,0.0419921875
26,26194,26194,65,65,1024,0.14087890625000005,-0.3578662574291229,0.25337642431259155,-0.004224288044497371,0.5095133949071169,1.0395582169294357,0.0003781388368224725,0.004150390625,0.6154848122688015,146,0,0,0.275390625,0.1318359375,0.3046875,0.1201171875,0.125,0.04296875
27,27218,27218,68,68,1024,0.15088867187500005,-0.40374404191970825,-0.10207447409629822,-0.005903654964640737,0.5492628086358309,1.0319924913346767,0.0027823924174299464,0.0146484375,0.6233044936552304,152,0,0,0.255859375,0.142578125,0.291015625,0.12890625,0.1318359375,0.0498046875
28,28242,28242,71,71,1024,0.14415039062500007,-0.5522989630699158,-0.06098100543022156,-0.009014711831696332,0.5721075069159269,0.9868039712309837,0.001170339179225266,0.015625,0.5460113766239426,149,0,0,0.27734375,0.134765625,0.2578125,0.138671875,0.1513671875,0.0400390625
29,29026,29026,75,75,784,0.19790816326530616,-0.12096795439720154,0.29953867197036743,-0.03720482514472678,0.6376849971711636,0.9149575978517532,0.003656737579149194,0.007080078125,0.59064026852004,156,0,0,0.27933673469387754,0.16581632653061223,0.2627551020408163,0.14285714285714285,0.11989795918367346,0.029336734693877552
30,30050,30050,77,77,1024,0.14004882812500005,-0.6874775290489197,-0.23910729587078094,-0.004597918421495706,0.417652852833271,0.9346774481236935,0.0016153565302374773,0.0048828125,0.6646060875241422,144,0,0,0.3251953125,0.123046875,0.3125,0.109375,0.0986328125,0.03125
31,31074,31074,82,82,1024,0.19810546875000007,-0.19409623742103577,0.28014594316482544,-0.003078621462918818,0.5662457905709743,0.868395235389471,0.0003156066741212271,0.004638671875,0.5936927013712539,206,0,0,0.3076171875,0.146484375,0.3154296875,0.134765625,0.076171875,0.01953125
32,32098,32098,86,86,1024,0.22979492187500006,-0.12248587608337402,-0.08983200788497925,-0.007011079171206802,0.7062820792198181,0.8027161844074726,0.0045047249950584956,0.026611328125,0.4984450687741607,239,0,0,0.2822265625,0.1748046875,0.2587890625,0.1630859375,0.0966796875,0.0244140625
33,33122,33122,90,90,1024,0.20503906250000004,-0.4319002628326416,-0.2659311890602112,-0.003734250378329307,0.5458863396197557,0.7637318633496761,0.003051090447115712,0.019287109375,0.639251698849012,211,0,0,0.283203125,0.1650390625,0.2900390625,0.15625,0.078125,0.02734375
34,34146,34146,96,96,1024,0.26490234375000005,0.2610029876232147,0.5838141441345215,-0.0025526179815642536,0.6908790394663811,0.7129304744303226,0.001391407597111538,0.010986328125,0.5625326715261195,272,0,0,0.2958984375,0.162109375,0.2939453125,0.1650390625,0.0625,0.0205078125
35,34872,34872,100,100,726,0.2580440771349863,0.0036676896270364523,-0.3627415895462036,-0.004180271178483963,0.6910558193922043,0.6939971099297205,-0.0003645855617075237,0.0,0.5340139213537941,189,0,0,0.29338842975206614,0.19972451790633608,0.2727272727272727,0.16942148760330578,0.049586776859504134,0.015151515151515152
36,35896,35896,103,103,1024,0.16221679687500004,-0.5690890550613403,0.11766877770423889,-0.0025307682517450303,0.39108860306441784,0.7417704835534096,0.0011671522515825927,0.005615234375,0.666771883112447,172,0,0,0.34375,0.107421875,0.3408203125,0.1181640625,0.0732421875,0.0166015625
37,36920,36920,109,109,1024,0.2963964843750001,0.30241528153419495,0.3884376883506775,-0.003616690228227526,0.8260531611740589,0.6050361394882202,-0.00010029276018030941,0.00146484375,0.4822270250976767,303,0,0,0.2646484375,0.1806640625,0.296875,0.1875,0.0478515625,0.0224609375
38,37944,37944,113,113,1024,0.20401367187500008,-0.3967165946960449,-0.3990018367767334,-0.003050859842915088,0.6893376410007477,0.6369722038507462,0.001880992014775984,0.002197265625,0.4695352836253255,213,0,0,0.3115234375,0.134765625,0.3369140625,0.158203125,0.0458984375,0.0126953125
39,38968,38968,117,117,1024,0.20030273437500004,-0.07170602679252625,0.4114697575569153,-0.0022953805746510625,0.73014310374856,0.6402453817427158,0.0013186921787564643,0.00634765625,0.5650677345006418,211,0,0,0.3271484375,0.130859375,0.328125,0.1396484375,0.0634765625,0.0107421875
40,39992,39992,122,122,1024,0.21714843750000007,0.13907551765441895,0.14565345644950867,-0.003193837881553918,0.5438319072127342,0.5950732789933681,0.0022588522551814094,0.009765625,0.6312844786036043,227,0,0,0.3017578125,0.1640625,0.330078125,0.1279296875,0.064453125,0.01171875
41,40519,40519,125,125,527,0.2521442125237192,-0.16355594992637634,-0.48821553587913513,0.009111643147965273,0.7096392065286636,0.547116257250309,-5.478924140334129e-05,0.0006510416666666666,0.5733082665524463,134,0,0,0.2656546489563567,0.17836812144212524,0.33586337760910817,0.18026565464895636,0.028462998102466792,0.011385199240986717
42,41543,41543,130,130,1024,0.27740234375000006,0.013919174671173096,0.225175142288208,-0.0019392993999645114,0.6372496746480465,0.530056843534112,0.000969297434494365,0.003662109375,0.6049699738233729,288,0,0,0.2939453125,0.181640625,0.302734375,0.1689453125,0.04296875,0.009765625
43,42567,42567,136,136,1024,0.29473632812500006,0.048666175454854965,-0.1553097665309906,-0.0011037227814085782,0.566915363073349,0.5121699161827564,-0.0004953363313688897,0.0009765625,0.5488153231564183,304,0,0,0.2978515625,0.1865234375,0.279296875,0.1845703125,0.0400390625,0.01171875
44,43591,43591,140,140,1024,0.20132812500000002,-0.3860090970993042,0.0013827066868543625,-0.002805329975672066,0.5410401206463575,0.5781923905014992,-0.000373187693185173,0.03515625,0.5700084934509246,214,0,0,0.322265625,0.140625,0.345703125,0.142578125,0.041015625,0.0078125
45,44615,44615,146,146,1024,0.27203125000000006,0.2603922486305237,0.336503803730011,-0.0024196627200581133,0.6366983130574226,0.4886821936815977,0.0014072123303776607,0.0068359375,0.5888758821070986,279,0,0,0.310546875,0.166015625,0.318359375,0.162109375,0.033203125,0.009765625
46,45480,45480,150,150,865,0.21236994219653185,-0.3481331467628479,-0.34653139114379883,-0.011827436741441488,0.5242240950465202,0.5395419634878635,0.0007412950908474158,0.00048828125,0.49242275839430505,187,0,0,0.35028901734104045,0.1260115606936416,0.33641618497109826,0.14797687861271677,0.028901734104046242,0.010404624277456647
